word1,word2,is_hypernym
cause,slaveholder,1
soul,george_bush,1
woody_plant,california_white_oak,1
consumer_goods,batting_helmet,1
believability,legitimacy,1
cavum,lateral_ventricle,1
man_of_affairs,heinz,1
mark,hoof_mark,1
physical_entity,clapboard,1
plant,penstemon_davidsonii,1
entity,cheeseflower,1
biological_group,polioptila,1
state,lawlessness,1
unit,thrinax_morrisii,1
abstract_entity,family_pucciniaceae,1
happening,blighty_wound,1
section,local_department,1
inactiveness,aestivation,1
abstraction,dreg,1
entity,button_accordion,1
state,brain_disorder,1
shape,germ_pore,1
phenomenon,ray_of_light,1
physical_object,blastocyst,1
mortal,charles_townes,1
mortal,theater_critic,1
entity,bell-shaped_curve,1
vine,leather_flower,1
institution,pharma,1
animate_thing,catchweed,1
bedding,patchwork_quilt,1
feeling,gravity,1
creature,manx_shearwater,1
pismire,formica_fusca,1
object,paloverde,1
matter,plumbago,1
object,love_seat,1
cut_of_meat,sirloin,1
whole,snap_line,1
physical_entity,maillol,1
biological_group,thamnophis,1
unit,heinrich_himmler,1
living_thing,he-huckleberry,1
whole,hand_throttle,1
real,one-hundred-thousandth,1
entity,tactical_intelligence,1
decrease,tapering,1
health_problem,carcinomatous_myopathy,1
abstract_entity,decryption,1
taxonomic_group,family_membracidae,1
entity,expectation,1
diapsid,hypsiglena_torquata,1
abstraction,genus_aplectrum,1
symptom,rheumatic_aortitis,1
psychological_feature,comeback,1
abstraction,touch_sensation,1
small_indefinite_quantity,smidgen,1
being,disturber,1
beast,bullbat,1
vascular_plant,tiger_lily,1
organism,oakley,1
causal_agent,inferior,1
unit,pneumatic_tyre,1
somebody,vociferator,1
whole,pneumatic_hammer,1
physical_entity,bursa_omentalis,1
animate_being,kob,1
taxonomic_category,genus_gypaetus,1
whole,juneberry_holly,1
effectuation,royal_road,1
body_process,cunnilingus,1
craniometric_point,metopion,1
physical_object,wolfbane,1
tracheophyte,california_sagebrush,1
unit,charles_grey,1
abstraction,genus_choloepus,1
causal_agency,holbein_the_elder,1
plane,midplane,1
work,test_bed,1
location,intergalactic_space,1
implied_trust,resulting_trust,1
psychological_feature,rub_up,1
district,goldfield,1
plant,bletilla_striata,1
grouping,family_osmundaceae,1
cause,robert_southey,1
vas,arteria_axillaris,1
unit,split_rail,1
portion,bandana,1
territorial_dominion,cooperstown,1
matter,pin_bone,1
creature,aepyceros_melampus,1
craniate,kuvasz,1
existence,entelechy,1
psychological_feature,pneumonitis,1
abstract_entity,genus_asphodeline,1
animal,ridgel,1
someone,nouveau-riche,1
whole,diehard,1
group,genus_elodea,1
object,cinchona_tree,1
abstract_entity,old_nick,1
causal_agent,anagnost,1
whole,cry-baby_tree,1
municipality,richmond,1
bactericide,viomycin,1
constituent,linguistic_context,1
abstract_entity,show,1
grounds,eosinopenia,1
physical_object,citellus_citellus,1
group,subclass_acnidosporidia,1
physical_entity,hesperus,1
suit_of_armor,hauberk,1
somebody,mimer,1
kinsman,great-uncle,1
entity,spinnbarkeit,1
solid,flint_glass,1
role_player,dudley_moore,1
fertiliser,chicken_manure,1
force,squad,1
part,heterograft,1
cause,catherine_of_aragon,1
group,nswc,1
palm_tree,bahia_coquilla,1
symbolization,hammer_and_sickle,1
taxon,caryophylloid_dicot_family,1
part,beta-lipoprotein,1
organism,soapwort_gentian,1
plant,burma_padauk,1
taxon,gadiformes,1
linguistic_unit,direct_antonym,1
cause,octoroon,1
part,over,1
building_block,dippel's_oil,1
genus,callicebus,1
bramble_bush,rubus_flagellaris,1
jest,riot,1
abstraction,neighbourhood,1
amount,shawwal,1
cutting_tool,meat_cleaver,1
animate_being,female,1
abstraction,everydayness,1
muscular_contraction,contracture,1
abstraction,chess_match,1
physical_entity,gnocchi,1
weave,dogstooth_check,1
relation,digestive_fluid,1
physical_object,knee_pad,1
taxonomic_group,rumohra,1
entity,clementine_tree,1
physical_entity,hominy,1
tumour,prostate_cancer,1
entity,farmer-labor_party,1
gymnosperm_genus,genus_calocedrus,1
group,genus_ammobium,1
berth,chaplainship,1
entity,mammal_semnopithecus,1
black_and_white,written_report,1
law_of_nations,maritime_law,1
whole,call_center,1
nonflowering_plant,dryopteris_marginalis,1
brute,pavo_muticus,1
toilet,comfort_station,1
object,white_stork,1
removal,dermabrasion,1
document,us_constitution,1
being,amelanchier_bartramiana,1
tracheophyte,cistus_albidus,1
gathering,group_meeting,1
artefact,drinking_glass,1
administrative_division,first_state,1
individual,pontiff,1
unit_of_measurement,british_shilling,1
physical_entity,mess_hall,1
entity,nitric_bacteria,1
physical_process,irreversible_process,1
relation,finger_paint,1
cutting_tool,reap_hook,1
relation,pertinency,1
tracheophyte,ground_pink,1
soul,laundress,1
ware,spoon,1
piece,funiculus,1
bodily_structure,tubule,1
physical_object,tuberous_begonia,1
being,tuckahoe,1
whole,algarroba,1
occurrent,word_of_god,1
physical_entity,marupa,1
whole,cecil_blount_demille,1
protoctist,malaria_parasite,1
physical_object,beach_ball,1
physical_entity,epoxy,1
geographic_region,stratford-on-avon,1
human_action,centralisation,1
belief,passivism,1
unconditioned_reflex,knee-jerk_reflex,1
chili,chipotle,1
beast,pallas's_sandgrouse,1
striated_muscle,abdominal_external_oblique_muscle,1
help,ministration,1
object,bill_mauldin,1
physical_entity,toothbrush_tree,1
object,sind,1
organization,truck_dealer,1
carnivore,springer_spaniel,1
soul,kluxer,1
solid,gateau,1
whole,sorghum_vulgare_technicum,1
substance,challah,1
abstraction,imperfective_aspect,1
water_plant,dense-leaved_elodea,1
being,bivalve,1
intellect,confucius,1
object,sickroom,1
conflict,ivry_la_bataille,1
abstract_entity,militant_tendency,1
brute,water_vole,1
corps,corps_diplomatique,1
physical_object,catherine_the_great,1
entity,molotov_cocktail,1
animate_thing,dancer,1
dicot_genus,genus_pholistoma,1
subject_matter,criminal_record,1
taxonomic_category,genus_ascaphus,1
human_activity,getting_even,1
aquatic_bird,curlew_sandpiper,1
device,compact_disc,1
fauna,currawong,1
abstraction,genus_crotalus,1
substance,rg,1
medication,painkiller,1
abstract_entity,activism,1
causal_agency,young,1
whole,club_fungus,1
spatiality,crookedness,1
vas,vertebral_artery,1
construction,pilothouse,1
room,rathole,1
diversion,hoops,1
musculus,biceps_humeri,1
liliopsid_genus,caryota,1
process,electrical_capacity,1
psychological_feature,sustentation,1
dicot_genus,foeniculum,1
metastatic_tumor,wilms'_tumor,1
elevation,laurentian_highlands,1
field,immunopathology,1
object,motley_fool,1
magnoliopsid_genus,castilleja,1
vascular_plant,magnolia_macrophylla,1
biological_group,genus_episcia,1
tea,tea_bag,1
good,porkpie_hat,1
phone_line,wats_line,1
rock,sial,1
psychological_feature,underwater_archaeology,1
administrative_district,capital_of_jamaica,1
chemical_action,hydrogenation,1
material,beeswax,1
creative_thinking,houri,1
medical_procedure,organ_transplant,1
inflammation,sinusitis,1
somebody,franco-american,1
mammalian,aotus_trivirgatus,1
medication,antivert,1
abstract_entity,genus_poecilogale,1
pattern,knight_errantry,1
animate_thing,scotsman,1
causal_agent,bravo,1
case,genitive_case,1
entity,nei_monggol,1
emission,field_emission,1
grouping,family_paguridae,1
visual_communication,kowtow,1
causal_agency,bleaching_agent,1
physical_entity,wheat_future,1
individual,winslow,1
psychological_feature,drug_trafficking,1
administrative_district,staten_island,1
entity,psychoactive_drug,1
whole,autocrat,1
causal_agency,bootmaker,1
taxonomic_group,genus_calliandra,1
construct,law_of_conservation_of_matter,1
abstraction,musical_theater,1
honor,medal_of_honor,1
physical_entity,chinese_angelica,1
mental_object,heavenly_jewel,1
parcel_of_land,baseball_field,1
causal_agent,heming,1
creator,krasner,1
compound,brine,1
engagement,double_date,1
physical_object,sea_creature,1
abstraction,immobility,1
surface,nose_cone,1
change,mountaineering,1
causal_agent,ethyl_chloride,1
entity,attributive_genitive_case,1
taxonomic_category,genus_stapelia,1
intellectual,ulrich_zwingli,1
situation,deanery,1
group,orites,1
feeling,earnestness,1
state,hypotonia,1
angiosperm,lasthenia_chrysostoma,1
act,serpent-worship,1
entity,senior_citizen,1
soul,mack_sennett,1
entity,packing_box,1
constituent,cheese_rind,1
tree,ginep,1
being,tunga_penetrans,1
green_goods,chips,1
unit,painted_tongue,1
entity,faun,1
physiological_state,flaccid_bladder,1
place_of_worship,westminster_abbey,1
being,wisteria_venusta,1
taxonomic_category,fissurellidae,1
food_product,nut_butter,1
abstraction,tuscan_order,1
deed,instrument_flying,1
state,ontario,1
abstract,entitlement,1
abstract_entity,manner_name,1
imaginary_creature,gulliver,1
litigator,corespondent,1
territorial_dominion,me,1
plant_structure,renal_cortex,1
entity,order_ciconiiformes,1
physical_entity,fruit_bat,1
teemingness,surplus,1
animate_thing,edward_vernon_rickenbacker,1
kerchief,khimar,1
point,ladder,1
object,blue-eyed_mary,1
biological_group,entomostraca,1
entity,prongbuck,1
abstraction,l-dopa,1
plant,prince's-plume,1
cognitive_process,convergent_thinking,1
brute,tamanoir,1
written_material,paraphrasis,1
animate_being,boselaphus_tragocamelus,1
ethics,small_voice,1
sea_bird,larus_argentatus,1
human_activity,biff,1
taxonomic_group,meleagrididae,1
abstraction,blastogenesis,1
act,quest,1
region,upper_side,1
artifact,tokamak,1
recreation,bacchanal,1
abstract_entity,disenchantment,1
radiation,medium_wave,1
happening,nerve_impulse,1
living_thing,pantheist,1
entity,pinnacle,1
being,nardoo,1
entity,economic_system,1
way,roundabout_way,1
piece,overlip,1
physical_entity,compound_lever,1
organism,rappeller,1
mortal,performing_artist,1
collection,islamic_law,1
eutherian,bushbuck,1
certainty,givenness,1
actor,eleanor_gwyn,1
territory,cumana,1
constituent,message_pad,1
plant,dwarf_astilbe,1
physical_entity,scanner,1
artefact,longyi,1
abstract_entity,mek,1
mortal,official,1
event,xeroradiography,1
being,lame_duck,1
tongue,modern_english,1
group,lutheran_church,1
biological_group,genus_pistia,1
component,white_beer,1
physical_object,chancery,1
organ,titty,1
military_service,coastguard,1
entity,pterocnemia_pennata,1
being,mandarin,1
causal_agent,postilion,1
physical_process,dehiscence,1
whole,phlox_bifida,1
translucent_substance,biotite,1
relation,east_northeast,1
biological_group,entomophthorales,1
habiliment,macintosh,1
imagination,wet_dream,1
living_thing,helen_laura_sumner_woodbury,1
object,manichee,1
abstraction,megawatt,1
group,family_soleidae,1
knowledge,datum,1
flower,gentiana_holopetala,1
mammal_family,dasypodidae,1
philosopher,eclecticist,1
physical_object,thomas_sully,1
entity,motley,1
deed,busman's_holiday,1
operation,tarawa-makin,1
tracheophyte,oak_chestnut,1
taxonomic_category,genus_chiococca,1
hymenopterous_insect,pharaoh_ant,1
invertebrate,hymenopter,1
physical_entity,hackney_coach,1
abstraction,civil_service,1
astrophysicist,edwin_powell_hubble,1
business_organization,dealership,1
tracheophyte,squirrel's-foot_fern,1
organism,runner-up,1
unit,gosling,1
physical_entity,gan_jiang,1
body_part,areteria_cervicalis,1
geographical_area,galicia,1
causal_agent,max_karl_ernst_ludwig_planck,1
spiny-finned_fish,northern_scup,1
physical_object,compact,1
deck,weather_deck,1
physical_entity,gerald_rudolph_ford,1
tongue,indo-hittite,1
physical_object,lady_tulip,1
entity,family_mycoplasmataceae,1
physical_entity,william_makepeace_thackeray,1
musical_scale,gapped_scale,1
plant_life,native_fuchsia,1
psychological_feature,murder_conviction,1
musical_notation,chromatic_scale,1
animal,cooper's_hawk,1
artifact,deathbed,1
washout,rain-wash,1
rosid_dicot_genus,callitriche,1
organism,devil's_tongue,1
water,hard_water,1
substance,alkaloid,1
artefact,cookery_book,1
instrumentality,convector,1
organism,chaparral_sage,1
corticosteroid,cortone_acetate,1
definite_quantity,biquadrate,1
island,pleasant_island,1
unhealthiness,cachexy,1
event,electric_healing,1
entity,maple-leaved_bayur,1
someone,swell,1
animate_thing,japanese_deer,1
entity,overdraft_credit,1
state,snow-blindness,1
brute,bolti,1
payment,fine,1
organism,reporter,1
brute,sand_hopper,1
female,bathsheba,1
beverage,slivovitz,1
hair,scalp_lock,1
animate_thing,nagi,1
structure,maginot_line,1
abstraction,grumble,1
herbaceous_plant,argemone,1
complex_body_part,sigmoid_sinus,1
cognitive_operation,fad,1
animate_thing,painted_nettle,1
human_action,pay_cut,1
dilleniid_dicot_genus,anastatica,1
morbidness,perniciousness,1
object,shag_rug,1
component_part,bitter_salts,1
food_product,johnnycake,1
food,herb,1
relation,india_ink,1
upbringing,breeding,1
someone,agee,1
abstract_entity,counterclaim,1
material,endorphin,1
whole,plautus,1
entity,sheraton,1
creature,nestor_notabilis,1
entity,safety_harness,1
physical_object,hobbyhorse,1
being,roger_sessions,1
causal_agency,feller,1
micro-organism,staph,1
soul,igor_stravinsky,1
canvas,fore-topsail,1
abstract_entity,incremental_cost,1
abstract_entity,null_set,1
range_of_mountains,catskills,1
illness,bovine_spongiform_encephalitis,1
unit,map_maker,1
district,gorkiy,1
grouping,babesiidae,1
dilleniid_dicot_genus,genus_melicytus,1
physical_object,slip_carriage,1
chordate,oscine,1
mortal,joseph_conrad,1
activity,global_climate_change,1
object,abetter,1
organism,statice,1
event,carnot_cycle,1
mortal,experimenter,1
group,order_pleuronectiformes,1
implements_of_war,powder_and_shot,1
holdfast,surgeon's_knot,1
human_action,canonization,1
physical_entity,majority_leader,1
serviceman,william_bligh,1
object,hyemoschus_aquaticus,1
abstraction,naias,1
animate_thing,hoheria_populnea,1
object,rocky_mountain_dogbane,1
country,capital_of_nepal,1
entity,defense_reutilization_and_marketing_service,1
whole,annunciator,1
psychological_feature,political_sympathies,1
functionary,harold_nicolson,1
unit,instrument_panel,1
music,funeral_march,1
animal,cladorhyncus_leucocephalum,1
topic,pons_asinorum,1
whole,steamroller,1
fern_genus,pyrrosia,1
entity,control_tower,1
tracheophyte,cyrilla_racemiflora,1
being,florida_selaginella,1
radiation,fireball,1
noesis,angel,1
whole,empty_tomb,1
attribute,achromatic_color,1
compound,binary_compound,1
animate_thing,twyla_tharp,1
region,centennial_state,1
whole,punch_bag,1
instrumentality,mantrap,1
artifact,soldering_iron,1
entity,moldboard_plow,1
rational_number,millionth,1
woody_plant,afrocarpus_falcata,1
human_activity,encouragement,1
brute,mamo,1
individual,john_mitchell,1
notation,c_major,1
flavourer,healing_herb,1
substance,aphanite,1
physical_entity,brussels_sprout,1
darkness,somberness,1
group,suborder_anthropoidea,1
taxonomic_group,lagopus,1
athletic_wear,running_suit,1
cognitive_process,cross-classification,1
variation,diurnal_variation,1
intensity,badness,1
group,genus_acalypha,1
taxonomic_group,family_ulvaceae,1
